sentence,abbreviation,expansion
Assessment showed rehabilitation; PT signified presence of therapist.,PT,Physical Therapy
Assessment showed therapist; PT signified presence of rehabilitation.,PT,Physical Therapy
Clinicians discussed exercise and rehabilitation when referring to PT.,PT,Physical Therapy
PT related findings such as rehabilitation plus therapist were documented.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of therapist.,PT,Physical Therapy
exercise was noted near the PT context along with therapist.,PT,Physical Therapy
Clinicians discussed mobility and exercise when referring to PT.,PT,Physical Therapy
PT related findings such as rehabilitation plus mobility were documented.,PT,Physical Therapy
exercise was noted near the PT context along with therapist.,PT,Physical Therapy
therapist was noted near the PT context along with rehabilitation.,PT,Physical Therapy
The PT indicated mobility and rehabilitation during evaluation.,PT,Physical Therapy
Clinicians discussed rehabilitation and exercise when referring to PT.,PT,Physical Therapy
PT related findings such as therapist plus mobility were documented.,PT,Physical Therapy
Clinicians discussed therapist and rehabilitation when referring to PT.,PT,Physical Therapy
rehabilitation was noted near the PT context along with therapist.,PT,Physical Therapy
Assessment showed therapist; PT signified presence of exercise.,PT,Physical Therapy
The PT indicated mobility and exercise during evaluation.,PT,Physical Therapy
Clinicians discussed exercise and therapist when referring to PT.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of rehabilitation.,PT,Physical Therapy
Clinicians discussed mobility and therapist when referring to PT.,PT,Physical Therapy
Assessment showed mobility; PT signified presence of rehabilitation.,PT,Physical Therapy
Clinicians discussed mobility and therapist when referring to PT.,PT,Physical Therapy
PT related findings such as therapist plus exercise were documented.,PT,Physical Therapy
The PT indicated rehabilitation and therapist during evaluation.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of rehabilitation.,PT,Physical Therapy
PT related findings such as rehabilitation plus exercise were documented.,PT,Physical Therapy
Clinicians discussed exercise and rehabilitation when referring to PT.,PT,Physical Therapy
PT related findings such as exercise plus mobility were documented.,PT,Physical Therapy
therapist was noted near the PT context along with mobility.,PT,Physical Therapy
Clinicians discussed rehabilitation and exercise when referring to PT.,PT,Physical Therapy
exercise was noted near the PT context along with therapist.,PT,Physical Therapy
The PT indicated mobility and therapist during evaluation.,PT,Physical Therapy
The PT indicated therapist and exercise during evaluation.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of rehabilitation.,PT,Physical Therapy
rehabilitation was noted near the PT context along with therapist.,PT,Physical Therapy
The PT indicated exercise and rehabilitation during evaluation.,PT,Physical Therapy
PT related findings such as rehabilitation plus exercise were documented.,PT,Physical Therapy
Clinicians discussed mobility and exercise when referring to PT.,PT,Physical Therapy
mobility was noted near the PT context along with rehabilitation.,PT,Physical Therapy
Assessment showed therapist; PT signified presence of rehabilitation.,PT,Physical Therapy
Clinicians discussed mobility and therapist when referring to PT.,PT,Physical Therapy
PT related findings such as exercise plus rehabilitation were documented.,PT,Physical Therapy
mobility was noted near the PT context along with therapist.,PT,Physical Therapy
Clinicians discussed rehabilitation and therapist when referring to PT.,PT,Physical Therapy
Assessment showed exercise; PT signified presence of rehabilitation.,PT,Physical Therapy
therapist was noted near the PT context along with rehabilitation.,PT,Physical Therapy
PT related findings such as rehabilitation plus exercise were documented.,PT,Physical Therapy
Clinicians discussed therapist and rehabilitation when referring to PT.,PT,Physical Therapy
exercise was noted near the PT context along with mobility.,PT,Physical Therapy
exercise was noted near the PT context along with rehabilitation.,PT,Physical Therapy
The PT indicated mobility and therapist during evaluation.,PT,Physical Therapy
Assessment showed rehabilitation; PT signified presence of therapist.,PT,Physical Therapy
Assessment showed rehabilitation; PT signified presence of therapist.,PT,Physical Therapy
The PT indicated therapist and rehabilitation during evaluation.,PT,Physical Therapy
Assessment showed mobility; PT signified presence of rehabilitation.,PT,Physical Therapy
PT related findings such as therapist plus exercise were documented.,PT,Physical Therapy
mobility was noted near the PT context along with exercise.,PT,Physical Therapy
Assessment showed mobility; PT signified presence of rehabilitation.,PT,Physical Therapy
PT related findings such as rehabilitation plus mobility were documented.,PT,Physical Therapy
PT related findings such as therapist plus exercise were documented.,PT,Physical Therapy
Assessment showed mobility; PT signified presence of therapist.,PT,Physical Therapy
PT related findings such as exercise plus rehabilitation were documented.,PT,Physical Therapy
Clinicians discussed rehabilitation and therapist when referring to PT.,PT,Physical Therapy
The PT indicated therapist and exercise during evaluation.,PT,Physical Therapy
Clinicians discussed exercise and mobility when referring to PT.,PT,Physical Therapy
Assessment showed rehabilitation; PT signified presence of therapist.,PT,Physical Therapy
therapist was noted near the PT context along with rehabilitation.,PT,Physical Therapy
The CRF indicated dialysis and creatinine during evaluation.,CRF,Chronic Renal Failure
CRF related findings such as uremia plus eGFR were documented.,CRF,Chronic Renal Failure
The CRF indicated eGFR and uremia during evaluation.,CRF,Chronic Renal Failure
creatinine was noted near the CRF context along with eGFR.,CRF,Chronic Renal Failure
The CRF indicated eGFR and dialysis during evaluation.,CRF,Chronic Renal Failure
creatinine was noted near the CRF context along with uremia.,CRF,Chronic Renal Failure
Assessment showed eGFR; CRF signified presence of uremia.,CRF,Chronic Renal Failure
dialysis was noted near the CRF context along with uremia.,CRF,Chronic Renal Failure
eGFR was noted near the CRF context along with creatinine.,CRF,Chronic Renal Failure
CRF related findings such as creatinine plus dialysis were documented.,CRF,Chronic Renal Failure
uremia was noted near the CRF context along with eGFR.,CRF,Chronic Renal Failure
Clinicians discussed dialysis and eGFR when referring to CRF.,CRF,Chronic Renal Failure
creatinine was noted near the CRF context along with dialysis.,CRF,Chronic Renal Failure
uremia was noted near the CRF context along with eGFR.,CRF,Chronic Renal Failure
Assessment showed dialysis; CRF signified presence of eGFR.,CRF,Chronic Renal Failure
dialysis was noted near the CRF context along with eGFR.,CRF,Chronic Renal Failure
Clinicians discussed dialysis and eGFR when referring to CRF.,CRF,Chronic Renal Failure
Assessment showed creatinine; CRF signified presence of uremia.,CRF,Chronic Renal Failure
creatinine was noted near the CRF context along with uremia.,CRF,Chronic Renal Failure
CRF related findings such as uremia plus dialysis were documented.,CRF,Chronic Renal Failure
CRF related findings such as uremia plus dialysis were documented.,CRF,Chronic Renal Failure
Assessment showed dialysis; CRF signified presence of uremia.,CRF,Chronic Renal Failure
CRF related findings such as creatinine plus dialysis were documented.,CRF,Chronic Renal Failure
Assessment showed dialysis; CRF signified presence of uremia.,CRF,Chronic Renal Failure
Assessment showed eGFR; CRF signified presence of creatinine.,CRF,Chronic Renal Failure
The CRF indicated uremia and eGFR during evaluation.,CRF,Chronic Renal Failure
Assessment showed eGFR; CRF signified presence of creatinine.,CRF,Chronic Renal Failure
dialysis was noted near the CRF context along with eGFR.,CRF,Chronic Renal Failure
CRF related findings such as eGFR plus dialysis were documented.,CRF,Chronic Renal Failure
Clinicians discussed eGFR and dialysis when referring to CRF.,CRF,Chronic Renal Failure
creatinine was noted near the CRF context along with uremia.,CRF,Chronic Renal Failure
CRF related findings such as uremia plus dialysis were documented.,CRF,Chronic Renal Failure
The CRF indicated eGFR and uremia during evaluation.,CRF,Chronic Renal Failure
Assessment showed creatinine; CRF signified presence of eGFR.,CRF,Chronic Renal Failure
Clinicians discussed creatinine and dialysis when referring to CRF.,CRF,Chronic Renal Failure
Clinicians discussed uremia and dialysis when referring to CRF.,CRF,Chronic Renal Failure
Assessment showed eGFR; CRF signified presence of dialysis.,CRF,Chronic Renal Failure
Assessment showed eGFR; CRF signified presence of dialysis.,CRF,Chronic Renal Failure
uremia was noted near the CRF context along with eGFR.,CRF,Chronic Renal Failure
Assessment showed dialysis; CRF signified presence of eGFR.,CRF,Chronic Renal Failure
dialysis was noted near the CRF context along with creatinine.,CRF,Chronic Renal Failure
CRF related findings such as creatinine plus dialysis were documented.,CRF,Chronic Renal Failure
CRF related findings such as uremia plus eGFR were documented.,CRF,Chronic Renal Failure
eGFR was noted near the CRF context along with uremia.,CRF,Chronic Renal Failure
Clinicians discussed dialysis and eGFR when referring to CRF.,CRF,Chronic Renal Failure
The CRF indicated creatinine and uremia during evaluation.,CRF,Chronic Renal Failure
Assessment showed uremia; CRF signified presence of creatinine.,CRF,Chronic Renal Failure
CRF related findings such as dialysis plus eGFR were documented.,CRF,Chronic Renal Failure
CRF related findings such as uremia plus eGFR were documented.,CRF,Chronic Renal Failure
CRF related findings such as creatinine plus uremia were documented.,CRF,Chronic Renal Failure
Assessment showed uremia; CRF signified presence of eGFR.,CRF,Chronic Renal Failure
The CRF indicated uremia and creatinine during evaluation.,CRF,Chronic Renal Failure
The CRF indicated dialysis and creatinine during evaluation.,CRF,Chronic Renal Failure
CRF related findings such as eGFR plus creatinine were documented.,CRF,Chronic Renal Failure
dialysis was noted near the CRF context along with uremia.,CRF,Chronic Renal Failure
The CRF indicated dialysis and uremia during evaluation.,CRF,Chronic Renal Failure
